Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-Jun-24,430.65,435.75,429,431.7,432.5243654,1166553,16084,504562596,916315,78.55,6.75,1.05
27-Jun-24,432,443,426.5,437.75,432.0475221,940994,16007,406554126,619253,65.81,16.5,5.75
28-Jun-24,440.55,444.6,438.3,440.5,440.8154138,486434,7851,214427605,229041,47.09,6.3,-0.05
01-Jul-24,440.6,441.65,434.45,435.15,436.4662877,1016171,15764,443524384,740592,72.88,7.2,-5.45
02-Jul-24,436,436.95,428.15,432.65,431.9328432,634366,11003,274003510,372575,58.73,8.8,-3.35
03-Jul-24,433,435.45,430.85,433.8,432.2226987,1254399,14699,542179721,961702,76.67,4.6,0.8
04-Jul-24,434.15,442.25,433.2,436.5,437.0270352,727274,8211,317838400,287004,39.46,9.05,2.35
05-Jul-24,436.5,440.2,433.95,439.8,438.0869139,1475806,28212,646531296,1047576,70.98,6.25,3.3
08-Jul-24,440.5,443.9,432,433.5,437.2218727,553520,10480,242011051,270673,48.9,11.9,-7
09-Jul-24,437.2,441.75,434.55,438.8,438.4794901,917775,22465,402425514,554258,60.39,7.2,1.6
10-Jul-24,439.5,442.2,426.9,437.25,435.552271,419611,8763,182762524,160046,38.14,15.3,-2.25
11-Jul-24,438.55,444.5,436.3,440.35,440.9809653,389762,7152,171877623,172350,44.22,8.2,1.8
12-Jul-24,441.35,442.1,432.45,434.05,437.3885592,331584,6784,145031048,172130,51.91,9.65,-7.3
15-Jul-24,435.9,442.4,431,439.2,436.5236593,990560,23381,432402876,530009,53.51,11.4,3.3
16-Jul-24,441,445.25,436.15,436.9,441.4219379,428217,7854,189024378,139970,32.69,9.1,-4.1
18-Jul-24,441,441,429.05,430,432.0852346,1230087,31714,531502430,558793,45.43,11.95,-11
19-Jul-24,430,430,412.8,414.15,419.4106782,2027366,62231,850298949,1017940,50.21,17.2,-15.85
22-Jul-24,414.35,425.2,409.7,424.25,419.1520042,543281,12489,227717320,204733,37.68,15.5,9.9
23-Jul-24,429.55,429.55,400,416.35,415.8656461,2246834,56230,934381073,847619,37.72,29.55,-13.2
24-Jul-24,416.9,424.95,415.55,419.75,419.3504694,799074,10436,335092057,418082,52.32,9.4,2.85
25-Jul-24,415.4,425.55,413,422.4,420.9243834,559216,10412,235387650,260221,46.53,12.55,7
26-Jul-24,431.25,446.2,430,444.65,440.4500202,1761492,24937,775849187,624450,35.45,16.2,13.4
