Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-Apr-21,89.1,94.9,88.3,90.35,90.55065875,4065625,26980,368145022,1582281,38.92,6.6,1.25
15-Apr-21,88.25,92.35,88.25,90.7,90.57298078,1336434,7965,121044811,353571,26.46,4.1,2.45
16-Apr-21,91.9,94.55,91.1,91.85,92.93485541,926892,6538,86140574,286735,30.94,3.45,-0.05
19-Apr-21,88,89.95,87.3,87.45,88.04746203,2307023,17621,203127520,1187902,51.49,2.65,-0.55
20-Apr-21,89.7,90.7,85,87.05,88.18219239,1111424,6597,98007805,351393,31.62,5.7,-2.65
22-Apr-21,86.5,88.4,85.2,87.25,86.76725756,1071197,6077,92944826,258707,24.15,3.2,0.75
23-Apr-21,86.2,90.65,86.2,87.8,88.81205714,1697899,11926,150793903,804307,47.37,4.45,1.6
26-Apr-21,89.25,89.7,87.05,87.7,88.41520227,405913,3920,35888880,156802,38.63,2.65,-1.55
27-Apr-21,88.6,90.7,87.8,90.05,89.47760042,649030,4765,58073647,197987,30.5,2.9,1.45
28-Apr-21,91,94.55,90.35,94.55,92.47930648,1972936,12503,182455753,1316696,66.74,4.2,3.55
29-Apr-21,97.3,99.25,95.75,96.95,98.18926737,8724922,28746,856693699,4878193,55.91,3.5,-0.35
30-Apr-21,95.65,98.35,94.4,94.75,97.62994334,3866289,7000,377465576,3202181,82.82,3.95,-0.9
03-May-21,94.8,97.65,92.2,95.55,95.57853277,1154448,6742,110340446,305064,26.42,5.45,0.75
04-May-21,97.4,98.9,94.35,95.65,97.45487869,3795535,14027,369893403,2457168,64.74,4.55,-1.75
05-May-21,96.25,98.75,96.1,97,97.82950399,3353668,5636,328087677,2535143,75.59,2.65,0.75
06-May-21,98.45,98.9,96,96.9,97.78557395,618395,4964,60470110,260829,42.18,2.9,-1.55
07-May-21,100,100,96.75,97.05,98.24227013,1700416,13835,167052728,955262,56.18,3.25,-2.95
10-May-21,97.25,99.8,97,98.55,98.37874557,3562072,18261,350432175,2560305,71.88,2.8,1.3
11-May-21,98,101,97.25,99,99.45284609,2545876,16600,253194614,1538236,60.42,3.75,1
12-May-21,99.5,100.7,97.05,97.45,98.49907414,1869622,10856,184156036,1362292,72.86,3.65,-2.05
14-May-21,97.55,98.5,94,95.85,96.23465491,1495153,11999,143885533,677930,45.34,4.5,-1.7
17-May-21,96.85,98.35,96.2,97,97.69327964,2712963,8942,265038253,2083999,76.82,2.15,0.15
18-May-21,98,101.85,97.15,101.85,99.3926177,2995163,7025,297697091,1637596,54.67,4.7,3.85
19-May-21,103.45,106.9,101.35,102.45,105.6323021,3693407,17508,390143084,1141901,30.92,5.55,-1
20-May-21,103,104,99,100.05,100.9261989,3547631,17441,358048912,2174309,61.29,5,-2.95
21-May-21,101.9,102.8,100.05,101.15,101.5399195,640664,6338,65052971,266994,41.67,2.75,-0.75
24-May-21,101.95,103,101,101.05,101.4274192,2118398,13326,214863642,1494900,70.57,2,-0.9
